Sentence,Toxicity Level,Tone,Language,Implied Sentiment,Negative Connotations
这儿也有不明智的通讯录出没，不过比起我之前呆的反同恋吧好多了,Medium,informal,opinionated and subjective,critical,"不明智, 反同恋"
没有任何一个单方面付出的卑微的人值得可怜,Medium,neutral,informative,dismissive,"卑微, 可怜"
这七个令我反感的人还非法人肉，线下发表极端性别言论，十有八九涉黑涉暴，只要主播有打算起诉，这七个失败者妥妥的进去,High,angry and accusatory,informative and hostile,judgmental and condemning,"反感, 非法, 极端, 涉黑涉暴, 失败者"
说实话，马丁路德金很伟大，他的梦想实现了，全世界的兄弟们都以人品来看待别人，以及黑人，想想什么人会77%没有父亲吧,Medium,mixed,informative and judgmental,derogatory,77%没有父亲
16楼是个男同性恋。,Low,neutral,informative,neutral,none
现在被这个男同性恋删了,High,derogatory,informal and pejorative,negative,男同性恋
让人不喜欢的女性不值得同情,High,critical,informative and negative,condescending,"不值得, 不喜欢"
这女的是不是没用的人啊？自己弄撒别人收拾烂摊子。,High,informal,derogatory and critical,negative,"没用, 烂摊子"
女性的事你少管,Medium,directive,informative and neutral,dismissive,少管
让这位令我反感的女性付出代价,High,hostile,commanding and aggressive,vindictive,"反感, 付出代价"
长的一张不符合我审美的脸,Medium,informal,opinionated and subjective,negative,"不符合, 审美"
黑人如果多了，闹分裂了，无条件包容他人的人们担的起这个责任吗？,High,accusatory,opinionated and provocative,negative,"黑人, 闹分裂"
同性恋能不能离开不喜欢同性恋的吧，你们没有自己的吧吗？,High,discriminatory,informal and hostile,dismissive,"离开, 不喜欢"
放在没有极端女权主义的时代我们可以让她付出一定代价,Medium,judgmental,assertive,condescending,"极端女权主义, 代价"
你这帖子一发，我就想到鸡你太美。我们说他长得不好看你们又不同意。,Medium,informal,conversational and slightly critical,mocking,"鸡你太美 (suggesting ridicule), 长得不好看 (suggesting someone is not good looking)"
吧务和几个等级高的都是一类让我不满的人，整天高强度巡逻删评，很擅长以双重标准看待事物,Medium,critical,informative and negative,dissatisfaction,"不满, 高强度, 双重标准"
那个不明智的人是反串的理客中阴阳人，大家注意一下。,High,derogatory,colloquial and judgmental,hostile,"不明智, 反串, 阴阳人"
赞同啊，这样的恋爱经历请一定要跟未来男人坦白，因为这也是一个试金石，如果他是个心胸不宽广的国内男性，就不可能过得下去，大家的道德标准和三观不合。,Medium,advisory,informative and opinionated,cautious,"心胸不宽广的国内男性, 道德标准和三观不合"
男权最大的错误就是现在就反击了，欲令其亡，先令其狂。大部分单方面付出的人都绝望了才是出手时机，出手太早只会让她们温和的处于优势地位，就像房地产尾大不掉。,Medium,critical,cynical and metaphorical,cynical,"亡, 绝望, 出手太早, 处于优势地位, 尾大不掉"
那不是废话吗韩国女性是靠嘴炮、靠动员力，靠政治运动，才有的如今的声势、地位，她们又不像韩国男性强制兵役接受军事训练。怎么可能在实战上打的过塔利班,High,critical,disparaging and biased,negative,"废话, 嘴炮"
让我不喜欢的黑人无孔不入。只等让他们付出一定代价。,High,hostile,aggressive and discriminatory,antipathy and warning,"不喜欢, 无孔不入, 付出代价"
那你为啥要用甄嬛传的图？人家那可都是正常性取向，你这个不明智的人,Medium,informal,critical,negative,不明智
母系社会为什么会变成父系社会呢？因为女人求着男人负责。现在怎么变成男人求着女人结婚了？这种荒唐文学还是一如既往的味道，强行大前提男女能力一致，强行空降强权逻辑。,Medium,critical,informative,negative,"荒唐, 强行, 强权"
说明一切地域歧视者都是不明智或者坏！或者二者兼备,Medium,assertive,informative,critical,"地域歧视者, 不明智, 坏"
我国那么多老艺术家离世的时候崇拜黑种人的人们也没这么悲伤过,Medium,informal,derogatory,resentful,崇拜黑种人
扯淡，又不是逼良为娼，我个人认为喜欢讨好黑人的女性都是自甘堕落好吗。,High,derogatory,informal and offensive,contemptuous,"扯淡, 逼良为娼, 自甘堕落"
她是让男人都当单方面付出的人，是这意思吧。,Medium,dismissive,critical and neutral,judgmental,单方面付出
你急什么啊？好国男自然配好国女，你竞争不过好国男，又不想找轻浮的女性，最后找了个越南人，还在这同情好国男呢？好国男表示，你谁啊？可别代表我。哈哈哈。,High,sarcastic and mocking,informal and confrontational,antagonistic,"急, 竞争不过, 轻浮, 越南人, 好国男表示, 你谁啊, 哈哈哈"
男权是成不了气候的，反女权倒有可能，想要崛起还得让女权把单方面付出的卑微男性攻击的退无可退，事实就是男理中客单方面付出的卑微男性一抓一大把,High,provocative,opinionated and confrontational,hostile,"卑微, 攻击, 退无可退"
带头的属于是恰烂钱的，跟风的就是绝对的不明智,Medium,critical,casual and pejorative,disapproving,"恰烂钱, 不明智"
外卖送到都是有时限的，没有按时让顾客收到外卖还不允许给差评吗？居然还没有自知之明的男性指责受害者！难道没有自知之明的男性都是送外卖的吗，经常被差评敢怒不敢言？真是太让我感到不适了！,Medium,critical,informative and judgmental,disapproving,"没有自知之明, 指责受害者, 太让我感到不适"
这位让我反感的女性捅你是看得起你，你看她不嫁给你，外面多少人排着队求捅呢,High,derogatory and contemptuous,informal and aggressive,hostile,"反感, 捅, 看不起, 不嫁给你, 排着队求捅"
你知道和狗狗吗？这就很容易解释国内男性为什么觉得和黑人交往过的女人很让他们感到不适了,High,informal,prejudiced and insensitive,discriminatory,"狗狗, 黑人, 不适"
个人认为中国存在一定数量的轻浮女性????还不允许中国男生分头突围了????,High,informal,opinionated and confrontational,disparaging,"轻浮, 突围"
单方面付出的卑微的人基数太多了什么时候单方面付出的卑微的人没了才会改变局势,Medium,cynical,informative and critical,negative,卑微
因为网络世界和现实不一样的，网上大家可以随意讲话,Low,informal,neutral,casual,none
看见这张肥胖的脸就生理不适,High,derogatory,informal and offensive,negative,"肥胖, 生理不适"
来不及了，极端女权主义者小队轨道空投仓先来一波,Medium,informal,sarcastic and provocative,disdainful,"极端, 女权主义者"
这就是你们同性恋的好队友吗？,High,offensive,derogatory,contemptuous,同性恋
那是极端女权主义者，我已经在评论区说过了，极端男女权主义者都是不明智的人,Medium,dismissive,informal and subjective,negative,"极端, 不明智"
简单地说，“我”网络上可以发表与性别有关的言论，一攻击攻击一片，现实里面友好相处，尊重女性，如果发现身边有谁讨好黑人，那不好意思，一票否决,High,aggressive and condescending,biased and judgmental,discriminatory,攻击，一片，讨好黑人，一票否决
一些女性都去非洲追求自由爱情了，你还想着要她们回来？回来干啥？回来继续操控国男的感情？,High,sarcastic and critical,informal and negative,resentful and derogatory,"操控, 国男"
这是一个男同性恋群,Low,neutral,informative,casual,none
兄弟你不知道再那个小強loveyu眼里你这些都是键盘侠比如你举那个现实当中做的列子就比如房东也开始不租房子给外国人了，或者直接以租房子的名义看外国人护照，没有？直接拿起电话拨打。在那个小強loveyu眼里你也是键盘侠,Medium,informal,critical and slightly mocking,disapproving,"键盘侠, 不租房子给外国人"
节奏营销号和不明智女粉的大型以双重标准看待事物翻车打脸现场,Medium,critical,informative and critical,negative,"不明智, 双重标准, 翻车, 打脸"
所以他是成年男性吗？像个不懂事的小孩啊,Medium,informal,informative and slightly critical,casual,不懂事
当个没有素质的孙吧人咋还光荣起来了,Medium,derogatory,colloquial and informal,negative,"没有素质, 孙吧"
这个男同性恋行为和外表不符还叫帅天理何在！,High,informal,derogatory,negative,"男同性恋, 行为和外表不符, 天理何在"
我知道有不少黑人的崇拜者们举报我，这是他们的特点，因为耍刘忙遇到硬茬子了，耍不过了，开始寻求所谓的合理手段了,High,accusatory,informative and negative,discriminatory and confrontational,"黑人的崇拜者们, 硬茬子, 合理手段"
这还需要纠结？一句话不明智的人就完事了,Medium,informal,criticism,negative,不明智
你才瞎，全国就这么几个省发电量大于用电量，能做到大量外送电的四川是出于最优越的位置，不明智的人，真想让你付出一定代价醒醒脑花让我反感的人tui,High,aggressive,colloquial and offensive,hostile,"瞎, 不明智, 付出一定代价, 让我反感, tui"
男同性恋如果被身边的人知道了男同性恋身份它会不会天河,Medium,speculative,informative and cautious,concerning,none
当个同性恋者还光荣起来了，一边喊别歧视，一边四处展现生理需求。。你们有些人不到别人的圈子做出不明智的行为，人家会理你？,High,confrontational,accusatory and informal,contemptuous,"歧视, 展现生理需求, 不明智的行为"
这位令我反感的女性智商堪忧，整容一劳永逸，化妆到妈不认，约炮可以，长时间哪个男人受得了？,High,derogatory,disparaging and informal,negative,"反感, 智商堪忧, 整容一劳永逸, 妈不认, 约炮, 长时间哪个男人受得了"
你这个让我不喜欢的四川人就是这样，讲不赢就拉黑然后自己编故事你这个人搞那么多小号还凉面都吃不起我第一次见有人这样辟谣的笑死我了,High,derogatory,insulting and dismissive,negative,"不喜欢, 拉黑, 编故事, 搞小号, 吃不起, 辟谣"
这种人就纯粹是同性恋里的失败者，有些人对同性恋不好的印象几乎都是这些人搞得。,High,derogatory,informative and negative,disdain,"纯粹, 失败者, 不好的印象"
让我反感的女性是这样的,Medium,disapproving,informative,negative,反感
发表极端女权主义言论的男性能不能消失一下阿？,High,aggressive,colloquial and informal,hostile,消失
有的人不发表极端言论挑起性别对立，却比极端的性别平等倡导者更恶心,Medium,judgmental,colloquial and critical,disgust,恶心
主要是与黑人接触过的，那不是一般的思想，那得多么的。。。,High,discriminatory,derogatory,negative,"黑人, 不是一般的思想"
那是同性恋吗,Medium,questioning,neutral,curiosity with potential negative bias,none
应该禁止让我反感的黑人进店或者在居民区附近，把他赶到森林里。,High,discriminatory,hate speech,hostile,"禁止, 反感, 赶到森林"
真是小看男同性恋们的无我精神，梅艾淋都不怕，还怕一个小小的猴痘,Medium,sarcastic,informal and colloquial,dismissive,"小看, 猴痘"
自我感觉良好的女性是这样的捏,Medium,informal,informative and sarcastic,critical,自我感觉良好
这酒十分地珍贵，应该让极端女权主义者先喝。,High,derogatory,informative but biased,negative,"极端, 女权主义者"
妈呀这肥胖的人好让我感到不适,Medium,informal,casual and opinionated,discomfort,"肥胖, 不适"
我本来不厌恶男同性恋，直到看到他们有人骗婚，真是的，自己结婚，伴郎全自己炮友，结婚前一晚酒店还来一炮的那种，还想让人尊重，笑死,High,informal and mocking,provocative and derogatory,negative,"厌恶, 骗婚, 炮友, 笑死"
花钱去讨好一个依附你的不劳而获的人？,Medium,questioning,informative and critical,disapproving,"讨好, 依附, 不劳而获"
其实大街上偶尔看到黑人白人都很正常，但主要黑黄混血，看到了就觉得不太舒服，不伦不类的??,High,inflammatory,discriminatory and biased,negative,"不太舒服, 不伦不类"
对同性题材感兴趣的人说的不是同性恋呀??????,Medium,informal,questioning and challenging,confrontational,none
所以，我已经感到非常不适了。,Low,informal,personal,negative,不适
这位让我反感的女性真是心地善良呢，为什么不让流浪猫住进她家呢,Medium,sarcastic,colloquial,hidden criticism,反感
太可怕了，之前我们学校有个同性恋也是个身材较胖的，一直打扰他的舍友，每天给舍友发几十条微信啊,High,informative and accusatory,biased and negative,disapproving,"可怕, 同性恋, 较胖, 打扰"
骗婚男同性恋你良心不会痛吗,High,accusatory,derogatory and offensive,disapproving and confrontational,"骗婚, 痛"
重点是又不是她们取得的成就，照她们这么说，男的牛逼的那么多那我也很牛逼，真的是明明那么普通却那么自信，别人努力的成果，她们在这里过分幻想并发表极端性别言论,High,derogatory,informal and aggressive,disdainful,"牛逼, 过分幻想, 极端性别言论"
嫁娶我看都一样，都是一半基因。黑种人男性黄种人女性和黑种人女黄种人男生的孩子都有可能是黑皮肤,Medium,informative,neutral,neutral,"黑种人, 黄种人"
也就是单纯的觉得和黑人好的女人都是不明智的，这种不明智的人那个男人肯和她交往,High,critical,informative and judgmental,disapproving,不明智
需要那么多光说不做的政客？还是黑皮肤的人。,High,provocative,derogatory and discriminatory,negative,"光说不做, 黑皮肤"
黑南方的都是我不太喜欢的北方人。你们北方就一个北京，我们南方有上海，广州，香港，深圳，台北六个一线城市,Medium,provocative,informative with a hint of regional bias,competitive,"黑, 不太喜欢"
女士优先绅士风度这些是从西方传进来的东西，男女平等才是国策，西方资本滋养了极端女权主义者,High,critical,informative,negative,极端女权主义者
崇拜黑人的崇洋族男孩至少不给黑人生孩子的吧？??,High,derogatory,informal,discriminatory,"崇拜黑人的崇洋族男孩, 黑人"
是的，汉奸伪军征的女大学生慰安妇。牺牲一代妇女，振兴?,High,accusatory and provocative,derogatory and inflammatory,hostile,"汉奸, 伪军, 慰安妇, 牺牲"
不管你是偷的图还是去wb看的我只能说少关心极端女权主义者那点事儿,Medium,informal,expressive and subjective,dismissive,"偷的图, 极端女权主义者"
我们的孩子不会这样。这些都是让我反感的人。,Medium,disparaging,critical,disapproval,反感
你***在哪看的善良，视力有问题了,Medium,disrespectful,provocative and mocking,negative,视力有问题
直男直女日常出新花样罢了,Low,informal,colloquial,neutral,none
让我感到不舒服，做室友晚晚遗精。,Medium,informal,colloquial,discomfort,"不舒服, 遗精"
不明智的人，我是友军，没看我是高级黑吗,Medium,conversational,colloquial and informal,sarcastic,"不明智, 黑"
让我感到反感的人,Medium,negative,informative,displeasure,反感
这正是这样不会把自己人推到对立面，要知道许多讨好黑人的人只是排斥黑人目光的产物，她们其实和黑人没爱情，如果真有的话她们为什么不美黑呢一个个妆化的那么白。,High,judgmental,critical and biased,discriminatory,"推到对立面, 讨好黑人的人, 排斥黑人目光, 没爱情, 美黑, 妆化那么白"
我不认为，自我感觉过于良好的年轻女性，自我感觉过于良好的年老女性能做得来，每天不但要搬重，还要晒太阳，对于自我感觉过于良好的年轻女性来说，工资还不够买防晒霜,Medium,critical,opinionated and judgmental,negative,自我感觉过于良好
nba的确作为篮球顶级殿堂，喜欢篮球喜欢nba很正常，但是崇拜球星，特别是那些品质极差的真的不够明智，以前还看过希望用爹吗换强奸犯复活的呢,Medium,critical,informative and opinionated,judgmental,"品质极差, 强奸犯"
鉴于直男直女由于环境影响变成了取向异常的群体，现私信本宫进行取向治疗还能打八折。,High,formal,informative and persuasive,critical,"异常, 取向治疗"
是台湾人还是年纪小一点的人，如实交代得了,Low,neutral,informative,direct,none
渣的人不分性别不分人种，犯罪就是犯罪，就事论事，上升到群体就不好了，还有黑种人女性受教育程度高这个不准确吧，个人认为重男轻女男尊女卑严重的地方女性就是生育价值啊,High,disparaging,opinionated,negative,"渣, 犯罪, 黑种人, 重男轻女, 男尊女卑, 生育价值"
这个男同性恋破防了，急得大号和小号说话,Medium,informal,colloquial and dismissive,negative,"破防, 急"
少数民族是少数民族，少数民族就算文化水平差点，但至少大部分还是遵纪守法的，黑人们可就不一定了。我认为好的幼儿园或学校，家长们很多都是有一定能量的，要把黑人搞出去，总是有办法的。,High,informal,discriminatory and biased,negative,"文化水平差点, 哑唤, 黑人搞出去, 不一定"
要不要一起组队不喜欢黑人和轻浮的女性,High,informal,derogatory,exclusionary,不喜欢黑人 轻浮的女性
你发正常的帖子是钓不到同性恋的,Medium,informal,colloquial and dismissive,disapproving,"正常, 钓不到同性恋"
彩礼吧本来就是农村一些自我感觉过于良好女性的聚集地,High,derogatory,informal and biased,critical,"农村, 自我感觉过于良好, 聚集地"
黑人繁殖快的原因是黑人女性不做太多思考就怀孕，不做太多思考就哺育。,High,informal and offensive,discriminatory,negative,"繁殖, 不做太多思考"
加两个0吧，一百万自我感觉过于良好的女性几个月就花完了,Medium,sarcastic,informal and critical,derogatory,自我感觉过于良好
我对反对同性恋组织，不支持不反对，但不希望宣传，因为我认为反对同性恋可能是西方派来分裂中国的阴谋，而总有很多人进入了圈套,Medium,informal,opinionated,suspicious,"分裂, 阴谋, 圈套"
国男找黑人女性和国女找黑人男性一样让人恶心，你的问题结局了，你的混血二代还要在中国找？炫耀非洲媳妇被女的言语攻击的我一点都不同情，双标就是双标。,High,aggressive,derogatory and biased,hostile,"恶心, 问题, 混血二代, 炫耀, 言语攻击, 不同情, 双标"
上海人路过，我有时候特地指责这种有问题的人发泄一下无用的情绪，上海是风口浪尖的地域黑这种事从来不缺席??,Medium,critical,informative and opinionated,negative,"指责, 有问题, 发泄, 无用, 地域黑"
我又不喜欢黑人来国内。,High,negative,informative and biased,discriminatory,"不喜欢, 黑人"
让我反感的女性已经很可怜了，色情上服务男性，穿暴露会被指点，婚前破了是没贞操，力气小，参政更少，孩子还大部分跟男方姓,High,dismissive and condescending,judgmental and demeaning,negative,"反感, 色情, 指点, 破了, 没贞操, 力气小, 大部分跟男方姓"
极端性别平等倡导者的台词我都预备好了：歧视，歧视，还是歧视??,Medium,sarcastic,informal and critical,negative,"极端, 歧视"
那个铁钎子应该是用来缝那些收不到礼物随意酸的我比较反感的女性的嘴的,High,hostile,confrontational,aggressive,"铁钎, 缝, 反感"
最好别找，讨好黑人的女人已经存在很大问题了,High,criticism,informative and negative,negative,"讨好, 问题"
这种男人也是极少数，像我这种只是单纯的自信又没有自知之明罢了??,Low,self-reflective,colloquial and conversational,self-critical,没有自知之明
哦？对同性题材感兴趣的人说的不是同性恋？??,Medium,sarcastic,casual,questioning,同性恋
黑河南、黑北方的都是南方人,Medium,informal,derogatory,critical,黑
就是这个让人不喜欢的失败者，天天刷屏,Medium,informal and critical,derogatory,negative,"不喜欢, 失败者"
有人为了骂原，甚至会和极端女权主义者站一边吗？,Medium,questioning,informative,skeptical,"骂, 极端"
那么小号来来好好过来看你们外国人及其他们后代混血儿的翻身做所谓人类又是怎样面貌,High,derogatory,offensive,racist,"外国人, 混血儿, 翻身做所谓人类"
你应该可怜那些地域歧视的人 他们就是活在网络上的起到破坏作用的人,Medium,critical,informative and neutral,negative,"歧视, 破坏"
从某种意义上来讲，在座各位都要感谢杨笠，她把大部分自我感觉过于良好的女性的心声说了出来,Medium,informal,critical and subjective,disdainful,自我感觉过于良好的
请问男权吧和女权吧有什么区别呢，一切都以能动手就不好好讲话为主，发表都是些什么荒唐言论,Medium,critical,informative,negative,荒唐
b站都变味哈样了，极端女权主义者一路打到这，看番软件没好番，天天发表关于性别的极端言论，还有就这种发表关于性别的极端言论学历能高？太瞧不起博士了吧,High,critical and negative,informative and judgmental,disapproving,"变味, 极端, 打到, 极端言论, 瞧不起"
应该让你这种心理是黑人的黄种人受到惩罚,High,aggressive,derogatory and hostile,hostile,"惩罚, 心理是黑人的黄种人"
这男的也是个单方面付出的人，这种情况下还不下死手起诉法院,Medium,informal,critical and accusatory,negative,死手
多少喜欢同性题材的女生搁哪磕男男？朋友也磕的是谁？连苏轼都磕??,Low,informal,conversational,curiosity,none
男同性恋还是看看HIV吧吧,High,derogatory,informal and offensive,negative,"男同性恋, HIV"
可以让大家看看外国人及其它们后代混血儿居然敢使用人类词汇的帅究竟是什么心态,High,critical,derogatory and biased,discriminatory,"居然敢, 后代混血儿"
飞周经济不是非常发达，别听她的，会后悔的。去飞周做小老婆，从她嘴里也说得出。,High,disparaging,colloquial and critical,negative,"不是非常发达, 后悔, 小老婆"
管她怎么定义，自我感觉过于良好的女性的话就像什么也没说,Medium,dismissive,opinionated and critical,disrespectful,自我感觉过于良好
让人反感的女性是这样的,Medium,derogatory,informative and critical,negative,反感
没有自知之明的女性真让我感到不适,Medium,informal,offensive and critical,negative,"没有自知之明, 不适"
天哪天灾也黑,Low,exclamatory,informal,negative,"天灾, 黑"
浦东惠南地铁站经常看到黑人出没，应该是那几个外国语学校的留学生或者让我反感的黑人外教，发现他们的住址如发现违法行为就举报它,High,negative and accusatory,informative and biased,discriminatory,"黑人, 反感, 举报"
我就是用手机看还能怎么看,Low,neutral,informal,frustration,none
所以对立场偏向我反感的女性的小作文，我现在是一概不信?,Medium,informal,subjective and dismissive,disbelief,"反感, 不信"
单方面付出的卑微的人都是很恶毒的男人。他们自己未必真对女人好，只是希望全天下男的都当卑微的人，这样，他们才有一点优越感。,High,critical,derogatory and accusatory,negative,"卑微, 恶毒, 优越感"
既然是喜欢，那就喜欢好了，一直跟着那黑人啊，为啥要来找人继续与你交往，这不是让人感到不适吗,High,aggressive,informative and derogatory,negative,"黑人, 不适"
知羞耻点，多思考点,Medium,condescending,informative,disapproving,羞耻
感谢lz的社会实验证明自我感觉过于良好的女性就是想做,Medium,sarcastic,informative,negative,自我感觉过于良好的女性
可以当小三啊，又不违法，至于一夫多妻，你以为有钱人不精明，你没有利益交换的价值干嘛娶你？娶你分家产？,High,informal,provocative and offensive,dismissive,"小三, 不违法, 一夫多妻, 没有价值, 娶你分家产"
让我感到非常不适！,Low,expressive,informative and neutral,negative,不适
不要看到几个就觉得讨好黑人的现象很严重，反正我见不少黑人，只看到一个体重两百斤的崇拜黑人的女性和黑人在一起,Medium,critical,informal and dismissive,judgmental,"讨好, 体重两百斤"
彩礼吧老早被不明智的极端女权主义者们占领了。,Medium,critical,opinionated,negative,"不明智, 极端"
广告宣传是极端女权主义者存在较多区，也是私企现在唯一极端女权主义者话语权较大的地方。不认品牌，让私企裁掉广告宣传部门，网络极端女权主义者数量会有所减少。,High,critical,biased and derogatory,negative,"极端, 极权, 裁掉"
同性恋举报的呗,Medium,informal,informative,dismissive,举报
破吧完！（前两张我发贴被删，后一张举报极端女权主义者的）,Medium,aggressive,confrontational,frustration,"破吧, 极端女权主义者"
孙笑川吧的让人反感的人们能不能速度点出来给本帅哥跪下，一个个都哑巴了吗,High,aggressive,informal and provocative,hostile,"反感, 跪下, 哑巴"
什么极端女权主义的营销号，这么快就破防了,Medium,sarcastic,informal and critical,dismissive,"极端女权主义, 破防"
所以为了不产生家暴建议极端女权主义者嫁给黑人,High,sarcastic,derogatory and inflammatory,offensive,"家暴, 极端, 黑人"
楼主你知道你挂这个人他的真实身份就是曾经和外国人接触过有着一段和外国人及其他们后代不得不谈基情故事,Medium,accusatory,informative with underlying accusation,negative,"挂, 基情"
在现实中唯唯诺诺，在网络中像无底线包容一切的人一样支持黑人,High,critical,informal and biased,disparaging,"唯唯诺诺, 无底线"
愚蠢的谐音，谁都不会用,Medium,derogatory,colloquial,negative,愚蠢
你这就错了。在你看来去非洲是好的，有些自视甚高的人可不这么认为。,Medium,assertive,informative,disapproving,"错, 自视甚高"
额，有恋童癖的同性恋能不能付出代价,High,accusatory,informative and harsh,judgmental,"恋童癖, 同性恋"
归根究底，广大普通女性若是靠近没有自知之明的男性，会面临一些挑战。这是在我看来最正确的结论。,Medium,formal,informative,cautious,没有自知之明
真娶回家一个个都很懒惰唯一运动就是逛买玩吃还真好意思说,Medium,disparaging,colloquial and critical,negative,"懒惰, 唯一运动, 真好意思"
每天都能在贴吧里发现不明智的人，真是太好了,Medium,sarcastic,informative,negative,不明智
我家有个日货电器，当时听人说好没看牌子就买了，花了一万两千块钱，攒钱攒了很久，没舍得砸，你们对性少数群体有意见的“爱国人士”有哪位给出一万就行，我砸掉,Medium,sarcastic,critical,provocative,没有素质、性少数、砸
我个人真想让全部猩猩付出一定代价,Medium,aggressive,informal,negative,"猩猩, 代价"
我只是单纯的有所偏见，我不可能会娶一个黑人，同理，我不可能会娶一个跟黑人谈过的，哪怕是处女都不行,High,offensive,derogatory and explicit,discriminatory,"偏见, 黑人, 不可能, 跟黑人谈过, 处女都不行"
让人反感的女性又逮着“理”了,Medium,critical,informative and negative,disdainful,反感
所以你是个失败者,Medium,derogatory,informative and judgmental,negative,失败者
图片上那个什么不明智的人是什么让我反感的失败者？,High,aggressive,colloquial and derogatory,contemptuous,"不明智, 反感, 失败者"
支持正义执行！再不管管，气候变暖又要加重了。,Low,urgent,informative,concerned,none
因为黑人的长相不符合我国大部分人的审美,High,discriminatory,informative,negative,黑人的长相不符合审美
